,UTCtimestamps,timestamp,open,high,low,close,volume,vwap
402,1.51591E+12,2018-01-14 00:00:00-05:00,67.508,70.46,66.96,70.004,120759520,69.03008
403,1.51651E+12,2018-01-21 00:00:00-05:00,69.88,72.1,67.142,68.57,141214555,69.59556
404,1.51712E+12,2018-01-28 00:00:00-05:00,67.97,71.932,67.656,68.75,117782205,69.76657
405,1.51772E+12,2018-02-04 00:00:00-05:00,67.594,69.724,58.952,62.084,198598590,65.06117
406,1.51833E+12,2018-02-11 00:00:00-05:00,63.226,68.624,61.25,67.098,131471750,64.92415
407,1.51893E+12,2018-02-18 00:00:00-05:00,66.894,70.998,66.3,70.41,100081395,68.75903
408,1.51953E+12,2018-02-25 00:00:00-05:00,70.7,71.998,64.594,67.024,135877960,68.77687
409,1.52014E+12,2018-03-04 00:00:00-05:00,66.478,67.55,64.348,65.434,110949090,65.76795
410,1.52074E+12,2018-03-11 00:00:00-05:00,65.722,69.442,63.814,64.27,174396450,66.51866
411,1.52135E+12,2018-03-18 00:00:00-04:00,63.3,64.488,60.09,60.308,148944590,62.3736
412,1.52195E+12,2018-03-25 00:00:00-04:00,61.468,61.518,49.642,53.226,292044165,54.47124
413,1.52256E+12,2018-04-01 00:00:00-04:00,51.252,61.856,48.918,59.86,437367550,55.49804
414,1.52316E+12,2018-04-08 00:00:00-04:00,60.074,61.9,57.842,60.068,218415005,60.1702
415,1.52376E+12,2018-04-15 00:00:00-04:00,59.8,60.202,56.502,58.048,158073690,58.55365
416,1.52437E+12,2018-04-22 00:00:00-04:00,58.258,58.894,55.3,58.815,116564495,56.86199
417,1.52497E+12,2018-04-29 00:00:00-04:00,58.722,61.37,55.046,58.818,218568645,57.96724
418,1.52558E+12,2018-05-06 00:00:00-04:00,59.5,62.598,59.034,60.212,153333995,60.70006
419,1.52618E+12,2018-05-13 00:00:00-04:00,60.664,60.988,54.8,55.364,170762475,57.18637
420,1.52679E+12,2018-05-20 00:00:00-04:00,56.266,58.298,54.6844,55.77,160818570,55.95045
421,1.52739E+12,2018-05-27 00:00:00-04:00,55.702,59.001,55.23,58.364,122502165,57.37944
422,1.528E+12,2018-06-03 00:00:00-04:00,58.868,66,57.348,63.532,260553545,62.38288
423,1.5286E+12,2018-06-10 00:00:00-04:00,64.502,72.934,64.5,71.634,334100285,69.18039
424,1.52921E+12,2018-06-17 00:00:00-04:00,71.08,74.746,66.4,66.726,257190445,70.90854
425,1.52981E+12,2018-06-24 00:00:00-04:00,66.024,71.404,65.1598,68.59,188039595,68.61054
426,1.53042E+12,2018-07-01 00:00:00-04:00,72.014,72.956,59.244,61.78,286921140,64.38108
427,1.53102E+12,2018-07-08 00:00:00-04:00,62.398,65.5354,61.6,63.774,167746315,63.53384
428,1.53163E+12,2018-07-15 00:00:00-04:00,62.342,65.1,61.25,62.716,157604950,63.24093
429,1.53223E+12,2018-07-22 00:00:00-04:00,60.368,62.14,58.509,59.436,190031045,60.18127
430,1.53284E+12,2018-07-29 00:00:00-04:00,59.18,71,57.226,69.634,294401580,64.97543
431,1.53344E+12,2018-08-05 00:00:00-04:00,69.092,77.492,67.83,71.098,463665785,72.49782
432,1.53405E+12,2018-08-12 00:00:00-04:00,72.226,72.638,60.706,61.1,257671055,66.76979
433,1.53465E+12,2018-08-19 00:00:00-04:00,58.3407,65.464,57.64,64.564,226338850,62.41666
434,1.53526E+12,2018-08-26 00:00:00-04:00,63.6,64.487,59.544,60.332,203790655,61.84783
435,1.53586E+12,2018-09-02 00:00:00-04:00,59.388,59.638,50.451,52.648,230120405,54.84616
436,1.53647E+12,2018-09-09 00:00:00-04:00,54.652,59.4651,54.2,59.04,232860710,56.72791
437,1.53707E+12,2018-09-16 00:00:00-04:00,58.008,61.196,55.1,59.82,220649580,58.48963
438,1.53768E+12,2018-09-23 00:00:00-04:00,59.696,62.992,52.111,52.954,296633420,56.54621
439,1.53828E+12,2018-09-30 00:00:00-04:00,61.154,63.368,52,52.39,346359475,58.34094
440,1.53888E+12,2018-10-07 00:00:00-04:00,52.904,53.552,49.554,51.756,268566360,51.32473
441,1.53949E+12,2018-10-14 00:00:00-04:00,51.812,56.54,50.7,52,195893205,53.23011
442,1.54009E+12,2018-10-21 00:00:00-04:00,52.136,67.98,50.518,66.18,464375025,60.70887
443,1.5407E+12,2018-10-28 00:00:00-04:00,67.494,69.84,64.452,69.282,235183910,67.75582
444,1.5413E+12,2018-11-04 00:00:00-04:00,68.1,71.5151,66.028,70.102,170748895,69.2331
445,1.54191E+12,2018-11-11 00:00:00-05:00,69.674,71.14,66.068,70.862,146311585,68.76736
